SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
2.030,2.0340,+2.02793938E+00,+2.02792587E+00,+2.02795643E+00,+1.15482365E-05
2.040,2.0443,+2.03830261E+00,+2.03828589E+00,+2.03831136E+00,+7.15237111E-06
2.050,2.0542,+2.04817778E+00,+2.04816448E+00,+2.04818755E+00,+8.00213168E-06
2.060,2.0641,+2.05805122E+00,+2.05803318E+00,+2.05807273E+00,+1.30399380E-05
2.070,2.0739,+2.06791249E+00,+2.06790668E+00,+2.06791626E+00,+3.75698436E-06
2.080,2.0842,+2.07813821E+00,+2.07812560E+00,+2.07814357E+00,+5.28905166E-06
2.090,2.0939,+2.08798864E+00,+2.08797812E+00,+2.08799669E+00,+5.69450561E-06
2.100,2.1039,+2.09783034E+00,+2.09782226E+00,+2.09784203E+00,+6.69511676E-06
2.110,2.1137,+2.10765360E+00,+2.10764662E+00,+2.10765950E+00,+4.76520403E-06
2.120,2.1240,+2.11799517E+00,+2.11797429E+00,+2.11800514E+00,+1.03103545E-05
2.130,2.1337,+2.12787268E+00,+2.12785288E+00,+2.12788313E+00,+8.87754108E-06
2.140,2.1437,+2.13766999E+00,+2.13765207E+00,+2.13768742E+00,+1.01557727E-05
2.150,2.1539,+2.14797585E+00,+2.14796626E+00,+2.14798933E+00,+5.98559446E-06
2.160,2.1638,+2.15779619E+00,+2.15777864E+00,+2.15780980E+00,+9.08706971E-06
2.170,2.1737,+2.16768404E+00,+2.16767011E+00,+2.16769857E+00,+9.60384174E-06
2.180,2.1835,+2.17754777E+00,+2.17754091E+00,+2.17755319E+00,+4.16731960E-06
2.190,2.1939,+2.18795528E+00,+2.18794917E+00,+2.18796385E+00,+4.82521596E-06
2.200,2.2037,+2.19775732E+00,+2.19774806E+00,+2.19776484E+00,+5.01024817E-06
2.210,2.2135,+2.20755604E+00,+2.20754277E+00,+2.20756763E+00,+6.71901934E-06
2.220,2.2233,+2.21737477E+00,+2.21736084E+00,+2.21739110E+00,+9.33849958E-06
2.230,2.2337,+2.22772002E+00,+2.22770468E+00,+2.22772925E+00,+7.63666702E-06
2.240,2.2435,+2.23752830E+00,+2.23751976E+00,+2.23753714E+00,+5.69427165E-06
2.250,2.2534,+2.24734068E+00,+2.24732675E+00,+2.24735371E+00,+8.20370840E-06
2.260,2.2632,+2.25720530E+00,+2.25719275E+00,+2.25722031E+00,+1.06347532E-05
2.270,2.2735,+2.26755059E+00,+2.26753899E+00,+2.26756116E+00,+7.54222535E-06
2.280,2.2832,+2.27731530E+00,+2.27730314E+00,+2.27733969E+00,+1.12830428E-05
2.290,2.2933,+2.28716840E+00,+2.28714398E+00,+2.28718412E+00,+1.51243776E-05
2.300,2.3029,+2.29697388E+00,+2.29696894E+00,+2.29698093E+00,+3.46873940E-06
2.310,2.3134,+2.30729496E+00,+2.30727983E+00,+2.30731399E+00,+1.18844771E-05
2.320,2.3232,+2.31708236E+00,+2.31707154E+00,+2.31708892E+00,+5.99686120E-06
2.330,2.3331,+2.32697065E+00,+2.32696421E+00,+2.32697709E+00,+3.80408872E-06
2.340,2.3429,+2.33679621E+00,+2.33679067E+00,+2.33680115E+00,+3.66010862E-06
2.350,2.3532,+2.34715168E+00,+2.34714590E+00,+2.34715429E+00,+2.57043951E-06
2.360,2.3631,+2.35698326E+00,+2.35697566E+00,+2.35699183E+00,+4.87356823E-06
2.370,2.3728,+2.36678081E+00,+2.36677066E+00,+2.36679223E+00,+6.45679540E-06
2.380,2.3828,+2.37670440E+00,+2.37668639E+00,+2.37672804E+00,+1.30342494E-05
2.390,2.3932,+2.38706344E+00,+2.38705571E+00,+2.38707158E+00,+5.36392130E-06
2.400,2.4029,+2.39687195E+00,+2.39686419E+00,+2.39688097E+00,+4.80732800E-06
2.410,2.4126,+2.40665360E+00,+2.40614378E+00,+2.40671896E+00,+1.70030853E-04
2.420,2.4229,+2.41692025E+00,+2.41689299E+00,+2.41695275E+00,+1.98375595E-05
2.430,2.4324,+2.42646643E+00,+2.42644701E+00,+2.42649557E+00,+1.45424340E-05
2.440,2.4428,+2.43674466E+00,+2.43672935E+00,+2.43675923E+00,+9.80392229E-06
2.450,2.4526,+2.44663222E+00,+2.44662325E+00,+2.44663819E+00,+4.15867890E-06
2.460,2.4629,+2.45696498E+00,+2.45694294E+00,+2.45700270E+00,+1.92233065E-05
2.470,2.4727,+2.46686411E+00,+2.46685178E+00,+2.46687419E+00,+6.26089981E-06
2.480,2.4827,+2.47679947E+00,+2.47678677E+00,+2.47681292E+00,+9.02592252E-06
2.490,2.4927,+2.48673931E+00,+2.48672923E+00,+2.48675537E+00,+7.47913610E-06
2.500,2.5032,+2.49722633E+00,+2.49720952E+00,+2.49725434E+00,+1.41977025E-05
2.510,2.5130,+2.50710417E+00,+2.50708475E+00,+2.50712210E+00,+1.32366940E-05
2.520,2.5229,+2.51703878E+00,+2.51701974E+00,+2.51705335E+00,+1.06233889E-05
2.530,2.5329,+2.52698498E+00,+2.52696966E+00,+2.52700328E+00,+1.11362630E-05
2.540,2.5433,+2.53737189E+00,+2.53736031E+00,+2.53737899E+00,+5.65176509E-06
2.550,2.5532,+2.54730651E+00,+2.54728036E+00,+2.54733639E+00,+1.77559075E-05
2.560,2.5631,+2.55723515E+00,+2.55720788E+00,+2.55726390E+00,+1.52219574E-05
2.570,2.5735,+2.56761609E+00,+2.56759106E+00,+2.56763588E+00,+1.27262547E-05
2.580,2.5834,+2.57755929E+00,+2.57752978E+00,+2.57758581E+00,+1.43152315E-05
2.590,2.5933,+2.58743713E+00,+2.58741248E+00,+2.58747971E+00,+2.13384212E-05
2.600,2.6032,+2.59733477E+00,+2.59732133E+00,+2.59734747E+00,+8.71140796E-06
2.610,2.6137,+2.60782179E+00,+2.60779788E+00,+2.60783897E+00,+1.13533159E-05
2.620,2.6237,+2.61777059E+00,+2.61775528E+00,+2.61778516E+00,+8.90919979E-06
2.630,2.6336,+2.62765030E+00,+2.62763424E+00,+2.62766786E+00,+1.15784228E-05
2.640,2.6434,+2.63755055E+00,+2.63753562E+00,+2.63757296E+00,+1.30456241E-05
2.650,2.6538,+2.64793224E+00,+2.64791880E+00,+2.64794868E+00,+1.09785462E-05
2.660,2.6638,+2.65790570E+00,+2.65789113E+00,+2.65792475E+00,+1.03572825E-05
2.670,2.6737,+2.66775142E+00,+2.66772901E+00,+2.66776263E+00,+9.59532966E-06
2.680,2.6837,+2.67770807E+00,+2.67769388E+00,+2.67772002E+00,+8.80712834E-06
2.690,2.6941,+2.68820256E+00,+2.68819285E+00,+2.68821899E+00,+1.03234832E-05
2.700,2.7041,+2.69816294E+00,+2.69813530E+00,+2.69818386E+00,+1.51438618E-05
2.710,2.7140,+2.70810054E+00,+2.70808150E+00,+2.70812258E+00,+1.03574540E-05
2.720,2.7244,+2.71850912E+00,+2.71850203E+00,+2.71852070E+00,+6.34957345E-06
2.730,2.7342,+2.72843067E+00,+2.72841087E+00,+2.72845196E+00,+1.14572392E-05
2.740,2.7442,+2.73838844E+00,+2.73837947E+00,+2.73840188E+00,+6.92716504E-06
2.750,2.7541,+2.74828383E+00,+2.74825470E+00,+2.74829952E+00,+1.17873742E-05
2.760,2.7645,+2.75874919E+00,+2.75873126E+00,+2.75877234E+00,+1.45424340E-05
2.770,2.7745,+2.76864122E+00,+2.76862516E+00,+2.76865504E+00,+9.88862434E-06
2.780,2.7845,+2.77855492E+00,+2.77853027E+00,+2.77858256E+00,+1.56867830E-05
2.790,2.7942,+2.78841185E+00,+2.78840550E+00,+2.78842044E+00,+4.73885041E-06
2.800,2.8047,+2.79883126E+00,+2.79881482E+00,+2.79884097E+00,+8.21679808E-06
