Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.074,0.0779,+7.22307671E-02,+7.22239046E-02,+7.22371521E-02,+4.11749844E-06
0.075,0.0789,+7.32584348E-02,+7.32493332E-02,+7.32662750E-02,+5.30490838E-06
0.076,0.0801,+7.42631899E-02,+7.42523344E-02,+7.42756201E-02,+6.21981667E-06
0.077,0.0810,+7.52703556E-02,+7.52666799E-02,+7.52750762E-02,+3.09226683E-06
0.078,0.0816,+7.58053779E-02,+7.57942650E-02,+7.58116546E-02,+5.05038045E-06
0.079,0.0826,+7.68219550E-02,+7.68159992E-02,+7.68319708E-02,+4.26523767E-06
0.080,0.0836,+7.78420995E-02,+7.78327330E-02,+7.78507943E-02,+5.48988479E-06
0.081,0.0847,+7.88813615E-02,+7.88661847E-02,+7.88945455E-02,+1.01921498E-05
0.082,0.0855,+7.98950017E-02,+7.98898968E-02,+7.99007186E-02,+3.84155875E-06
0.083,0.0866,+8.09317895E-02,+8.09254009E-02,+8.09375662E-02,+3.57080346E-06
0.084,0.0876,+8.19479001E-02,+8.19331040E-02,+8.19624724E-02,+1.01468138E-05
0.085,0.0887,+8.30007790E-02,+8.29915580E-02,+8.30112240E-02,+5.27437041E-06
0.086,0.0898,+8.40382161E-02,+8.40282190E-02,+8.40540422E-02,+9.65423365E-06
0.087,0.0908,+8.50611035E-02,+8.50489457E-02,+8.50718955E-02,+6.93040157E-06
0.088,0.0918,+8.60785500E-02,+8.60701202E-02,+8.60890771E-02,+6.00688116E-06
0.089,0.0928,+8.70945039E-02,+8.70794652E-02,+8.71108860E-02,+1.03973631E-05
0.090,0.0938,+8.81502748E-02,+8.81349712E-02,+8.81597122E-02,+7.50790573E-06
0.091,0.0948,+8.91846967E-02,+8.91775282E-02,+8.91914100E-02,+4.86667439E-06
0.092,0.0958,+9.01957360E-02,+9.01859030E-02,+9.02028822E-02,+4.72222793E-06
